Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+-------------
      0 | ( 81, 71)= 0
      1 | ( 80, 20)=18202
      2 | (148,122)= 0
      3 | (135,122)= 0
      4 | (168,189)= 0
      5 | (108,112)= 0
      6 | (109,141)= 0
      7 | ( 87, 90)= 0
      8 | (127,207)= 0
      9 | ( 49, 64)= 0
     10 | (155,195)= 0
     11 | (114,208)= 0
     12 | ( 87,104)= 0
     13 | (130,154)= 0
     14 | ( 60, 21)=6171
     15 | (199,198)= 0
     16 | (181,114)= 0
     17 | (165,204)= 0
     18 | (108,131)= 0
     19 | ( 27, 71)= 0
     20 | (158,118)= 0
     21 | (118,115)= 0
     22 | ( 14, 62)=3149
     23 | ( 92, 42)= 0
     24 | ( 26,105)= 0
     25 | (198,187)= 0
     26 | (106, 58)= 0
     27 | (165,129)= 0
     28 | (209,191)=2691
     29 | (190,117)= 0
     30 | (150,140)= 0
     31 | (131,168)= 0
     32 | (105, 40)= 0
     33 | (128,133)= 0
     34 | (131,110)= 0
     35 | (135,183)= 0
     36 | ( 80, 10)=1743
     37 | ( 70, 19)=1153
     38 | (204,158)= 0
     39 | (186,182)= 0
     40 | (128,143)= 0
     41 | (199,115)= 0
     42 | (131,195)=1059
     43 | (191,172)= 0
     44 | (193,127)= 0
     45 | (137,207)= 0
     46 | (205,132)= 0
     47 | (153,205)= 0
     48 | (200,208)= 0
     49 | ( 74,109)= 0
     50 | ( 72, 69)= 0
     51 | ( 87, 31)= 0
     52 | (204,176)= 0
     53 | (138,142)= 0
     54 | (181,155)= 0
     55 | (179,125)= 0
     56 | (107,158)= 0
     57 | ( 99, 95)= 0
     58 | (120,197)= 0
     59 | (192,156)= 0
     60 | (209,122)=586
     61 | ( 11, 72)=460
     62 | ( 60, 10)=268
     63 | (145,186)= 0
     64 | (117,173)= 0
     65 | (138,132)= 0
     66 | ( 60,109)= 0
     67 | (143,197)= 0
     68 | (145,152)= 0
     69 | (151,176)= 0
     70 | (205,148)= 0
     71 | ( 49,109)= 0
     72 | (191,138)= 0
     73 | (188,192)= 0
     74 | ( 97, 25)= 0
     75 | (178,192)= 0
     76 | (117,155)= 0
     77 | (160,139)= 0
     78 | (141,172)= 0
     79 | (107,171)= 0
     80 | (168,118)= 0
     81 | (142,112)= 0
     82 | ( 50, 74)= 0
     83 | (173,140)= 0
     84 | (161,170)= 0
     85 | ( 91, 80)= 0
     86 | (169,160)= 0
     87 | ( 50, 52)= 0
     88 | (118,125)= 0
     89 | (155,154)= 0
     90 | ( 53, 34)= 0
     91 | (171,173)= 0
     92 | (103, 85)= 0
     93 | (151,166)= 0
     94 | ( 51, 41)= 0
     95 | ( 98,109)=256
     96 | ( 62, 70)= 0
     97 | (209,112)=173
     98 | (182,204)=127
     99 | (108, 96)=100
