Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                 0                 1                 2                 3                 4                 5                 6                 7                 8                 9
--------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | (  86.0,  71.0)=30785(  81.3,  70.9)= 0(  81.0,  71.0)= 0(  72.1,  70.9)= 0(  67.5,  70.8)= 0(  63.1,  70.7)= 0(  58.6,  70.7)= 0(  54.3,  70.5)= 0(  49.9,  70.3)= 0(  45.6,  70.1)= 0
      1 | (  83.0,  20.0)=18064(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
      2 | ( 150.0, 122.0)=16856( 147.8, 122.0)= 0( 148.0, 122.0)= 0( 143.5, 121.9)= 0( 141.3, 121.8)= 0( 139.2, 121.8)= 0( 137.1, 121.7)= 0( 135.0, 121.6)= 0( 132.9, 121.6)= 0( 130.7, 121.6)= 0
      3 | ( 138.0, 122.0)=15954( 135.4, 122.0)= 0( 135.0, 122.0)= 0( 130.3, 122.1)= 0( 127.8, 122.1)= 0( 125.3, 122.1)= 0( 122.8, 122.2)= 0( 120.5, 122.3)= 0( 118.0, 122.4)= 0( 115.6, 122.4)= 0
      4 | ( 173.0, 189.0)=15545( 168.3, 188.9)= 0( 168.0, 189.0)= 0( 158.9, 188.6)= 0( 154.3, 188.5)= 0( 149.7, 188.3)= 0( 145.2, 188.1)= 0( 140.7, 187.9)= 0( 136.1, 187.7)= 0( 131.5, 187.6)= 0
      5 | ( 111.0, 112.0)=15398( 108.0, 112.0)= 0( 108.0, 112.0)= 0( 102.1, 111.9)= 0(  99.2, 111.8)= 0(  96.3, 111.7)= 0(  93.5, 111.7)= 0(  90.6, 111.6)= 0(  87.8, 111.5)= 0(  84.9, 111.5)= 0
      6 | ( 112.0, 141.0)=14339( 109.1, 140.9)= 0( 109.0, 141.0)= 0( 103.3, 140.8)= 0( 100.4, 140.7)= 0(  97.5, 140.6)= 0(  94.6, 140.5)= 0(  91.8, 140.5)= 0(  89.0, 140.4)= 0(  86.2, 140.3)= 0
      7 | (  92.0,  90.0)=13192(  87.4,  89.9)= 0(  87.0,  90.0)= 0(  78.2,  89.9)= 0(  73.6,  89.9)= 0(  69.1,  89.9)= 0(  64.7,  89.9)= 0(  60.3,  89.8)= 0(  55.9,  89.8)= 0(  51.6,  89.7)= 0
      8 | ( 111.0, 112.0)=15398( 108.0, 112.0)= 0( 108.0, 112.0)= 0( 102.1, 111.9)= 0(  99.2, 111.8)= 0(  96.3, 111.7)= 0(  93.5, 111.7)= 0(  90.6, 111.6)= 0(  87.8, 111.5)= 0(  84.9, 111.5)= 0
      9 | (  52.0,  64.0)=10204(  49.5,  63.9)= 0(  50.0,  64.0)= 0(  44.3,  63.9)= 0(  41.7,  63.8)= 0(  39.1,  63.8)= 0(  36.6,  63.7)= 0(  34.1,  63.7)= 0(  31.6,  63.7)= 0(  29.0,  63.7)= 0
     10 | ( 160.0, 195.0)=10007( 155.4, 194.9)= 0( 155.0, 195.0)= 0( 146.1, 194.7)= 0( 141.5, 194.5)= 0( 136.9, 194.4)= 0( 132.4, 194.3)= 0( 127.9, 194.1)= 0( 123.5, 193.9)= 0( 119.0, 193.8)= 0
     11 | ( 118.0, 208.0)=8061( 114.2, 208.0)= 0( 114.0, 208.0)= 0( 106.6, 207.8)= 0( 102.8, 207.8)= 0(  99.1, 207.7)= 0(  95.4, 207.7)= 0(  91.7, 207.5)= 0(  87.9, 207.4)= 0(  84.2, 207.3)= 0
     12 | (  92.0, 104.0)=7224(  87.4, 103.6)= 0(  87.0, 104.0)= 0(  78.1, 102.9)= 0(  73.6, 102.6)= 0(  69.1, 102.2)= 0(  64.6, 101.9)= 0(  60.1, 101.6)= 0(  55.7, 101.4)= 0(  51.3, 101.4)= 0
     13 | ( 133.0, 154.0)=6685( 130.2, 153.9)= 0( 130.0, 154.0)= 0( 124.7, 153.7)= 0( 121.9, 153.5)= 0( 119.2, 153.3)= 0( 116.5, 153.2)= 0( 113.9, 153.1)= 0( 111.2, 152.9)= 0( 108.6, 152.8)= 0
     14 | (  62.0,  21.0)=6328(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     15 | ( 204.0, 198.0)=6211( 198.6, 198.0)= 0( 199.0, 198.0)= 0( 188.0, 198.0)= 0( 182.5, 197.8)= 0( 177.3, 197.8)= 0( 171.9, 197.6)= 0( 166.6, 197.6)= 0( 161.3, 197.5)= 0( 156.1, 197.4)= 0
     16 | ( 183.0, 115.0)=4869( 180.8, 114.3)= 0( 181.0, 114.0)= 0( 176.5, 113.2)= 0( 174.3, 113.1)= 0( 171.6, 113.1)= 0( 168.5, 113.2)= 0( 165.2, 113.3)= 0( 161.6, 113.2)= 0( 158.1, 113.2)= 0
     17 | ( 170.0, 204.0)=4468( 165.1, 203.9)= 0( 165.0, 204.0)= 0( 155.3, 203.9)= 0( 150.5, 203.8)= 0( 145.7, 203.8)= 0( 140.9, 203.7)= 0( 136.1, 203.6)= 0( 131.4, 203.4)= 0( 126.6, 203.3)= 0
     18 | ( 111.0, 131.0)=4337( 108.1, 131.0)= 0( 108.0, 131.0)= 0( 102.3, 130.9)= 0(  99.4, 130.9)= 0(  96.5, 130.8)= 0(  93.6, 130.7)= 0(  90.8, 130.5)= 0(  87.9, 130.4)= 0(  85.1, 130.3)= 0
     19 | (  32.0,  71.0)=3534(  27.4,  70.9)= 0(  27.0,  71.0)= 0(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     20 | ( 160.0, 118.0)=3401( 157.8, 117.9)= 0( 158.0, 118.0)= 0( 153.4, 117.8)= 0( 151.3, 117.8)= 0( 149.2, 117.7)= 0( 147.0, 117.7)= 0( 145.0, 117.6)= 0( 142.9, 117.6)= 0( 140.8, 117.5)= 0
     21 | ( 121.0, 115.0)=3281( 118.1, 115.0)= 0( 118.0, 115.0)= 0( 112.4, 114.9)= 0( 109.6, 114.9)= 0( 106.7, 114.9)= 0( 103.9, 114.8)= 0( 101.0, 114.7)= 0(  98.3, 114.7)= 0(  95.6, 114.7)= 0
     22 | (  19.0,  66.0)=3236(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     23 | (  95.0,  42.0)=3223(  92.2,  41.9)= 0(  92.0,  42.0)= 0(  86.7,  41.7)= 0(  84.1,  41.6)= 0(  81.5,  41.7)= 0(  79.0,  41.8)= 0(  76.5,  41.8)= 0(  74.0,  41.9)= 0(  71.5,  42.0)= 0
     24 | (  31.0, 105.0)=3129(  26.3, 104.8)= 0(  26.0, 105.0)= 0(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     25 | ( 203.0, 187.0)=3114( 197.9, 187.0)= 0( 198.0, 187.0)= 0( 187.6, 186.9)= 0( 182.4, 186.8)= 0( 177.4, 186.7)= 0( 172.3, 186.6)= 0( 167.1, 186.5)= 0( 162.0, 186.4)= 0( 156.9, 186.3)= 0
     26 | ( 109.0,  58.0)=2749( 106.3,  58.0)= 0( 106.0,  58.0)= 0( 100.8,  58.3)= 0(  98.1,  58.5)= 0(  95.6,  58.7)= 0(  93.2,  58.8)= 0(  90.8,  58.8)= 0(  88.5,  58.9)= 0(  86.3,  58.9)= 0
     27 | ( 169.0, 129.0)=2406( 164.9, 129.2)= 0( 165.0, 129.0)= 0( 157.8, 129.8)= 0( 154.2, 130.0)= 0( 150.4, 130.0)= 0( 146.8, 129.8)= 0( 143.2, 129.7)= 0( 139.6, 129.7)= 0( 136.0, 129.6)= 0
     28 | ( 134.0, 197.0)=2403(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5(  -1.0,  -1.0)=-5
     29 | ( 193.0, 117.0)=2375( 189.6, 117.0)= 0( 190.0, 117.0)= 0( 182.8, 117.0)= 0( 179.9, 117.2)= 0( 177.0, 117.5)= 0( 174.2, 117.7)= 0( 171.2, 117.9)= 0( 167.6, 117.8)= 0( 163.7, 117.8)= 0
     30 | ( 154.0, 140.0)=2109( 150.3, 140.0)= 0( 150.0, 140.0)= 0( 143.1, 139.9)= 0( 139.6, 139.7)= 0( 135.9, 139.6)= 0( 132.4, 139.5)= 0( 129.0, 139.3)= 0( 125.5, 139.1)= 0( 122.1, 138.8)= 0
     31 | ( 134.0, 168.0)=2068( 131.3, 167.9)= 0( 131.0, 168.0)= 0( 125.8, 167.7)= 0( 123.0, 167.6)= 0( 120.2, 167.6)= 0( 117.1, 167.6)= 0( 113.7, 167.7)= 0( 110.3, 167.9)= 0( 106.7, 168.2)= 0
     32 | ( 108.0,  40.0)=1968( 105.4,  40.0)= 0( 105.0,  40.0)= 0(  99.8,  39.8)= 0(  97.1,  39.8)= 0(  94.4,  39.7)= 0(  91.8,  39.7)= 0(  89.1,  39.6)= 0(  86.5,  39.6)= 0(  83.9,  39.6)= 0
     33 | ( 131.0, 133.0)=1936( 128.2, 132.9)= 0( 128.0, 133.0)= 0( 122.9, 132.5)= 0( 120.2, 132.4)= 0( 117.4, 132.2)= 0( 114.9, 131.9)= 0( 112.2, 131.7)= 0( 109.6, 131.5)= 0( 107.0, 131.2)= 0
     34 | ( 134.0, 110.0)=1798( 131.2, 109.9)= 0( 131.0, 110.0)= 0( 125.6, 109.9)= 0( 122.9, 109.9)= 0( 120.2, 109.9)= 0( 117.5, 109.9)= 0( 114.8, 109.9)= 0( 112.1, 109.9)= 0( 109.4, 109.9)= 0
     35 | ( 139.0, 183.0)=1697( 135.2, 183.3)= 0( 135.0, 183.0)= 0( 127.5, 183.8)= 0( 123.7, 184.0)= 0( 119.9, 184.3)= 0( 116.0, 184.5)= 0( 112.3, 184.6)= 0( 108.7, 184.4)= 0( 105.0, 184.4)= 0
     36 | (  83.0,  10.0)=1686(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     37 | (  72.0,  18.0)=1610(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     38 | ( 208.0, 158.0)=1228( 203.7, 158.1)= 0( 204.0, 158.0)= 0( 195.2, 158.0)= 0( 191.1, 158.0)= 0( 186.8, 158.0)= 0( 182.7, 158.0)= 0( 178.5, 158.0)= 0( 174.3, 157.9)= 0( 170.2, 157.9)= 0
     39 | ( 190.0, 182.0)=1143( 185.6, 181.8)= 0( 186.0, 182.0)= 0( 176.9, 181.5)= 0( 172.5, 181.4)= 0( 168.2, 181.2)= 0( 163.8, 181.1)= 0( 159.6, 180.9)= 0( 155.3, 180.7)= 0( 151.0, 180.6)= 0
     40 | ( 131.0, 143.0)=1086( 128.2, 142.8)= 0( 128.0, 143.0)= 0( 122.7, 142.4)= 0( 120.1, 142.2)= 0( 117.3, 142.1)= 0( 114.7, 141.8)= 0( 112.1, 141.5)= 0( 109.4, 141.3)= 0( 106.8, 141.0)= 0
     41 | ( 203.0, 115.0)=1065( 199.1, 114.9)= 0( 199.0, 115.0)= 0( 191.1, 114.8)= 0( 187.1, 114.9)= 0( 183.2, 114.8)= 0( 179.3, 114.7)= 0( 175.6, 114.7)= 0( 171.7, 114.6)= 0( 167.7, 114.6)= 0
