Face 0: starts at (99, 212), width = 43, height = 43
Face 1: starts at (175, 188), width = 38, height = 38
Face 2: starts at (229, 217), width = 45, height = 45
Face 3: starts at (290, 81), width = 39, height = 39
Face 4: starts at (301, 170), width = 45, height = 45
Face 5: starts at (353, 105), width = 43, height = 43
Face 6: starts at (363, 214), width = 41, height = 41
Face 7: starts at (498, 212), width = 55, height = 55
Face 8: starts at (574, 108), width = 44, height = 44
Face 9: starts at (597, 162), width = 42, height = 42
Face 10: starts at (674, 89), width = 39, height = 39
Face 11: starts at (707, 165), width = 43, height = 43
Face 12: starts at (782, 91), width = 41, height = 41
Face 13: starts at (887, 200), width = 60, height = 60
Face 14: starts at (973, 87), width = 38, height = 38
Face 15: starts at (1041, 45), width = 42, height = 42
Face 16: starts at (1090, 179), width = 50, height = 50
Face 17: starts at (1099, 85), width = 43, height = 43
Face 18: starts at (56, 166), width = 43, height = 43
Face 19: starts at (198, 51), width = 41, height = 41
Face 20: starts at (439, 165), width = 52, height = 52
Face 21: starts at (459, 100), width = 45, height = 45
Face 22: starts at (783, 207), width = 52, height = 52
Face 23: starts at (825, 172), width = 45, height = 45
Face 24: starts at (879, 85), width = 47, height = 47
Face 25: starts at (962, 173), width = 52, height = 52
Face 26: starts at (1039, 216), width = 47, height = 47
Face 27: starts at (1139, 232), width = 46, height = 46
Face 28: starts at (670, 205), width = 52, height = 52
